"","batch","cell_type","individual_id","sex","age","Residuals"
"7906079",0,0.0139880768439694,0.0179946993788723,1.42223167593858e-12,0.00829961808460139,0.959717605691135
"7906085",0,0.633377872683969,0.0319811596033317,8.59921602681937e-11,0.0310910521592835,0.303549915467424
"7906107",0,0.978655441499729,0.00154850635153503,4.95531881177473e-14,0.000238063144592178,0.0195579890040944
"7906128",0,0.882648156363048,0.0258155851008175,3.35096008039994e-14,2.53783819407809e-05,0.0915108801541599
"7906133",0,0.79605530574982,0.0812999820696553,1.55403116158058e-13,0.000382777793025009,0.122261934387344
"7906140",0,0.594358398571554,0.0750846535464548,1.39989099333908e-10,0.000570922591274543,0.329986025150728
"7906146",0,0.409304009788193,0.113995637246094,6.38228440584193e-11,9.35373824203743e-06,0.476690999163648
"7906154",0,0.101324329410108,1.4709377221685e-10,1.94123581294911e-11,0.00347039505759056,0.895205275365796
"7906163",0,0.763979245740283,0.0100930528720892,1.90173378371109e-11,2.69433168064585e-05,0.225900758051804
"7906177",0,0.0214630597270898,0.0715935406218995,1.42205046854494e-13,0.0172974286795,0.889645970971368
"7906185",0,0.00803033849850042,0.299376074990989,2.84940190329915e-11,0.00146721741322035,0.691126369068796
"7906194",1.5835345683744e-10,0.591675920427816,0.0237400486366447,7.61366503375866e-12,0.000342964860544381,0.384241065909028
"7906197",0,0.577864734407021,0.0261533848539994,3.3247965352911e-13,1.15858653366543e-05,0.395970294873311
"7906205",0,0.557426355028208,0.0465612834771907,5.09658277695707e-11,0.0010092606171919,0.395003100826443
"7906223",0,0.890141161523978,0.0199406883365047,2.96941650436405e-14,0.00043724865762143,0.0894809014818663
"7906235",0,0.631203179763465,0.08151089863918,1.4591341626722e-13,1.24365963842551e-05,0.287273485000825
"7906244",0,0.508351724190701,0.0401886868150193,1.18169726568255e-10,0.000112990368560435,0.451346598507549
"7906264",0,0.263239547183429,0.0547046458257192,7.15697184556541e-11,8.69384563053278e-05,0.681968868462977
"7906284",3.10501566467881e-11,0.619505889729868,0.0189592874251153,1.12657009552714e-11,2.13407746677345e-05,0.361513482028034
"7906307",0,0.414633444766875,0.0745007236889199,6.42094987202428e-11,8.47397598795827e-06,0.510857357504008
"7906330",0,0.990937946856779,0.00017258715311765,1.0057332085425e-12,1.12012772695127e-05,0.00887826471182776
"7906339",0,0.94061069289862,0.000908087321034968,1.35800671262713e-13,0.000289384962541051,0.0581918348176683
"7906348",3.11041049485672e-12,0.902655669164425,0.00603078027710635,4.21886559737789e-12,0.00083636017235025,0.0904771903787887
"7906355",0,0.826890680871324,0.00856431717955055,5.66639720904276e-11,2.19986656643903e-05,0.164523003226797
"7906365",0,0.0579257375792083,0.126632122911771,9.18990142403019e-11,0.00476554204104286,0.810676597376079
"7906367",0,0.0720765774219237,0,1.61129377400491e-12,4.50612627549393e-06,0.927918916450189
"7906370",1.44020687967582e-10,0.0740520173155569,0.0739776575200027,7.73447930141179e-11,0.000576060503020344,0.851394264440055
"7906372",0,0.276392190900784,0.0528602205130911,1.17887086870009e-10,0.00101721376674736,0.66973037470149
"7906374",0,0.411502310109797,0.0535635740808976,2.10685646868865e-11,0.000253716007056978,0.53468039978118
"7906377",0,0.994148102515865,0,1.21491842390373e-12,6.81000294251295e-06,0.00584508747997715
"7906386",0,0.923806005003671,0,3.63155360948274e-11,0.00300455248984513,0.0731894424701686
"7906400",0,0.594399943282906,0.129121510400578,1.90197807489585e-13,0.00413357376643938,0.272344972549887
"7906417",0,0.625147970263942,0.0330894142951199,1.54130530796399e-10,0.000428716550851962,0.341333898735955
"7906435",0,0.60565571080279,0.0208814706861129,1.85884220227627e-13,0.000105066166631263,0.37335775234428
"7906443",0,0.86266415054902,0.00879359920423272,7.07268724405225e-11,0.000254558434630329,0.12828769174139
"7906452",0,0.665789514833845,2.03213631499044e-10,4.32431589061247e-14,0.000333895375206161,0.333876589587692
"7906458",0,0.436804217947548,0.0376627995465948,1.08965084805597e-10,0.000977141271525423,0.524555841125367
"7906469",0,0.900092233190968,0.0282079408163314,2.13285314464808e-13,0.000110930411828485,0.0715888955806586
"7906475",0.00449693322803119,0.00415801233629079,0.0864029718870037,1.21781148569203e-10,0.029949854700078,0.874992227726815
