"","batch","cell_type","individual_id","sex","age","Residuals"
"7963054",1.79973488250527e-16,0.908725481359089,0.0237838838905579,0.000369244355171318,0.000747803738943819,0.0663735866562376
"7963061",3.0648698670058e-14,0.677193650970313,0.0425139009781768,0,0.00062266336704532,0.279669784684435
"7963064",0,0.548897955567388,0.144370958326429,0,0.000156080034131314,0.306575006072052
"7963084",1.06584526440806e-12,0.438432717214802,0.0219542985512349,0.000205258138978791,7.2155951878878e-05,0.539335570142039
"7963092",0,0.595091729695706,0.0476029240264611,0.00115791905977371,0.00598273580358632,0.350164691414473
"7963121",0,0.889271101484109,0.0242040268450622,0,0.000169562525289474,0.0863553091455394
"7963134",0,0.923679409166447,0.00560182460115188,0,1.73167811832843e-07,0.0707185930645896
"7963139",2.16275345497637e-13,0.200718480871935,0.151251748152101,0.00292579589249816,0.00218555893963354,0.642918416143616
"7963142",0,0.103562560305322,0.0587885851883759,0.00337115452676847,4.24933602748448e-05,0.834235206619258
"7963157",0,0.576257787445762,0.0326609688966017,0.00180919169082874,5.02035138889512e-08,0.389272001763293
"7963174",6.44346383945875e-12,0.40555238626277,0.0461787326497368,0.0110675624333333,2.62042691765293e-06,0.537198698220798
"7963187",0,0.9142082596337,0.0147546436249469,0.00157054741868499,0.000429287611179134,0.069037261711489
"7963203",0,0.603034469049936,0.0201470718903754,7.34215714666933e-05,0.00127687087118549,0.375468166617037
"7963212",0,0.576244375101087,0.137074247486755,0.000441114003484701,0.00236709457289462,0.283873168835779
"7963235",0,0.260822904104289,0.26194789010873,0.00133112872009873,2.22169519644056e-05,0.475875860114918
"7963244",0,0.814494200032738,0.0384038975438003,0,0.000143271220610786,0.146958631202851
"7963261",0,0.675809503458477,0.0738447546366434,0.000484024928211372,0.000750075273059418,0.249111641703609
"7963265",0,0.64136174617979,0.0243307411510952,0.000510255424720452,0.00117496137789823,0.332622295866497
"7963280",0,0.304760563343572,0.0548701533092276,0.00529894640068808,0.00243437214427635,0.632635964802236
"7963289",0,0.595899197718893,0.0917320102101626,3.25486577728454e-13,0.00211260100857772,0.310256191062042
"7963304",0,0,0.158464550131843,0.000143301816416996,0.00513127824482588,0.836260869806914
"7963313",0,0.941325577426393,0.00352233490723431,1.16211860418407e-19,0.000181534232586932,0.0549705534337858
"7963328",0,0.157849121564185,0.116388803139598,0,2.74011402102908e-05,0.725734674156006
"7963333",0,0.532412432512388,0.0383380442507264,0,0.000972051058998691,0.428277472177887
