"","batch","individual_id","sex","age","Residuals"
"7974303",0,0.0183571329799078,1.06589689103531e-12,0.00388096492935718,0.977761902089669
"7974316",0,0,0,0.000159356443840037,0.99984064355616
"7974341",3.17956600605543e-11,0.247004197416039,0.00489996627308891,0.000772834432060263,0.747323001847016
"7974352",6.1932880494481e-13,0.119908110751491,0.00661096686616191,0.0141978025215756,0.859283119860152
"7974363",0,6.97324501327814e-13,0.00677463286528292,0.00757718516567813,0.985648181968342
"7974372",0,0.108729962484884,4.66293112674032e-12,0.00146756879375428,0.889802468716699
"7974380",0,0.0309947660883086,2.32595448180648e-12,0.00587385881435539,0.96313137509501
"7974387",0,1.0665911479862e-16,8.03240562024287e-17,0.00854757953152559,0.991452420468474
"7974404",1.22781233796509e-11,0.114267931051563,4.48484844495638e-10,0.00579207246187711,0.879939996025797
"7974418",0,2.49556350894382e-09,0.0160870308708293,0.00227289956111649,0.981640067072491
"7974425",0,0,0,0.0104126154897814,0.989587384510219
"7974447",0,1.14368550143416e-11,0.00314019807239645,0.00485155434353882,0.992008247572628
"7974455",0,0,0,0.0037074879066936,0.996292512093306
"7974461",1.1635699532135e-11,0,0.02427187136356,0.00255147593405678,0.973176652690747
"7974473",9.02647631383432e-10,0.122736278208285,4.73371195173978e-09,5.49724705837432e-05,0.877208743684772
"7974483",0,0.0489626777315674,0,0.00250762311557131,0.948529699152861
"7974531",9.21698772556103e-12,0.0978005628324538,0,2.06657242499525e-05,0.902178771434079
"7974533",0,0,0,1.16810923853732e-05,0.999988318907615
"7974542",0,0,0,0.0076291660618672,0.992370833938133
"7974564",0,0.0207248323558872,8.15138938099436e-11,0.00108186510789106,0.978193302454708
"7974566",0,1.57932713040668e-18,1.83335751058379e-15,0.00804202962722011,0.991957970372778
"7974576",0,0.190270036551271,0.0058503350024509,0.000386071094746922,0.803493557351531
"7974587",0,0.0968340653748009,1.18894643532654e-12,0.0123549121079181,0.890811022516092
"7974603",0,0,0,0.0134029244582992,0.986597075541701
"7974621",1.96236137557129e-11,0.101640912380714,1.04225776206623e-09,0.0031792710065302,0.895179815550875
"7974647",0,0.0756337126064121,9.67555114032774e-05,0.000944388291513687,0.923325143590671
"7974653",2.6102112151101e-14,0,0.00245737294259156,0.00275069447472544,0.994791932582657
"7974689",0,0.0467390449068589,2.57240502052517e-12,0.0162305534137522,0.937030401676817
"7974697",3.28277510372606e-13,0.216638299274214,2.14903281358858e-11,9.45666625674211e-06,0.78335224403771
"7974725",0,0,0,9.05286481348396e-05,0.999909471351865
"7974737",0,0.178633489517476,7.98721765823536e-11,0.00490479629107793,0.816461714111574
"7974771",0,0,0,0.00515360882403014,0.99484639117597
"7974781",0,0.0688482925196764,0,0.000779645239234452,0.930372062241089
"7974793",0,0,0,0.0096036626735575,0.990396337326443
"7974799",0,0,0.019200171101939,0.0349767275245488,0.945823101373512
"7974816",0,0,0,0.0044666705798236,0.995533329420176
